accuracy,precision,recall,f1,roc_auc,pr_auc,brier,auc_ci_lo,auc_ci_hi,model,subset,seed,n_features
0.7941415785191213,0.0,0.0,0.0,0.5062486725775215,0.203388046802887,0.1673357421068814,0.4051604254762631,0.7946299136133245,LightGBM,MM_full,44,87
0.7941415785191213,0.0,0.0,0.0,0.49811224774473173,0.19283384452235863,0.17231053680073669,0.3806364161471729,0.8224217611983051,XGBoost,MM_full,44,87
0.8716807123549054,0.0,0.0,0.0,0.1788123076672693,0.07922392977604448,0.11935247845271198,0.007860395218969033,0.4994918125352908,RandomForest,MM_full,45,87
0.8716807123549054,0.0,0.0,0.0,0.25684328162868947,0.08519794750278767,0.1268859083897162,0.052553978142709706,0.536420101637493,LightGBM,MM_full,45,87
0.8716807123549054,0.0,0.0,0.0,0.20124801818455532,0.08090782712983516,0.13078015976688237,0.015181629755048434,0.5551101072840203,XGBoost,MM_full,45,87
0.8821684957504745,0.49474237644584645,0.6683238636363636,0.5685800604229607,0.8240689929002469,0.5492839911887636,0.09586378956582661,0.4299434249240044,0.943219673803092,RandomForest,MM_full,46,87
0.1161812030695602,0.1161812030695602,1.0,0.20817624011236785,0.611217241090298,0.14418242121906355,0.31557178940280184,0.32507618001285216,0.7870296531849658,LightGBM,MM_full,46,87
0.1161812030695602,0.1161812030695602,1.0,0.20817624011236785,0.6613229761672367,0.16206481245471058,0.3016895639748086,0.4207414896840598,0.8409901822836178,XGBoost,MM_full,46,87
0.5178756093957748,1.0,0.0004594180704441041,0.0009184142048063677,0.6825235609096059,0.7740419395564141,0.3551187151116292,0.2716246740189085,0.9639565403161814,RandomForest,ENG_inhaler,42,38
0.5176540109321909,0.0,0.0,0.0,0.6387038746355074,0.718842827393123,0.386190923267973,0.2672990422109085,0.8932249709547443,LightGBM,ENG_inhaler,42,38
0.5176540109321909,0.0,0.0,0.0,0.6279184978707336,0.7144786841502799,0.4167254997087551,0.23039847077512246,0.9016479185312458,XGBoost,ENG_inhaler,42,38
0.8492467426710097,0.08571428571428572,0.002066115702479339,0.004034969737726967,0.5407171056874615,0.17960845869717446,0.1352874767464345,0.3267662951289163,0.8204763604263725,RandomForest,ENG_inhaler,43,38
0.8521986970684039,0.0,0.0,0.0,0.5812259216409414,0.2075835060344351,0.1293342047214318,0.3990528358064609,0.7687628408165021,LightGBM,ENG_inhaler,43,38
0.8521986970684039,0.0,0.0,0.0,0.5796904840877173,0.18999103981925392,0.13058499361530423,0.41232815733980577,0.7618162878350394,XGBoost,ENG_inhaler,43,38
