threshold,input_length_days,washout_days,algo,subset,n_features,n_train,n_val,n_test,train_positive,val_positive,test_positive,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
2,14,0,rf,smartinhaler_only,86,713,184,348,51,1,2,0.9945652173913043,0.0,0.0,0.0,0.14207650273224043,0.006060606060606061,0.09088670106806356,0.8908045977011494,0.0,0.0,0.0,0.6647398843930636,0.012666345999679333,0.09147043283655772
2,14,0,rf,peakflow_only,131,713,184,348,51,1,2,0.9782608695652174,0.0,0.0,0.0,0.09836065573770492,0.0058823529411764705,0.11726094181886869,0.7212643678160919,0.010309278350515464,0.5,0.020202020202020204,0.49277456647398843,0.032379123756327455,0.19876096002536373
2,14,0,rf,environment_only,171,713,184,348,51,1,2,0.9945652173913043,0.0,0.0,0.0,0.5245901639344263,0.011363636363636364,0.07202191856688214,0.9942528735632183,0.0,0.0,0.0,0.4884393063583815,0.008164251207729468,0.04020300772021631
2,14,0,rf,no_smartwatch,270,713,184,348,51,1,2,0.9945652173913043,0.0,0.0,0.0,0.34426229508196726,0.008264462809917356,0.09216298440430241,0.985632183908046,0.0,0.0,0.0,0.49277456647398843,0.010755148741418764,0.09591181535368735
2,14,0,rf,no_smartinhaler,400,713,184,348,51,1,2,0.9347826086956522,0.0,0.0,0.0,0.825136612021858,0.030303030303030304,0.11024424922469125,0.9942528735632183,0.0,0.0,0.0,0.44797687861271673,0.007671771401748519,0.06561425492314314
2,14,0,rf,no_peakflow,355,713,184,348,51,1,2,0.967391304347826,0.0,0.0,0.0,0.8524590163934427,0.03571428571428571,0.10145271188048736,0.9942528735632183,0.0,0.0,0.0,0.5563583815028902,0.009735184044720261,0.042572146945132984
2,14,0,rf,no_environment,315,713,184,348,51,1,2,0.9945652173913043,0.0,0.0,0.0,0.18579234972677594,0.006666666666666667,0.09707614362091899,0.9942528735632183,0.0,0.0,0.0,0.4277456647398844,0.007454606030318174,0.09987155558012066
3,14,7,rf,all,427,665,184,338,48,1,4,0.9945652173913043,0.0,0.0,0.0,0.9071038251366119,0.05555555555555555,0.09204325384992677,0.9881656804733728,0.0,0.0,0.0,0.4977544910179641,0.013935073145599462,0.08617271111158455
3,14,7,rf,smartwatch_only,216,665,184,338,48,1,4,0.9945652173913043,0.0,0.0,0.0,0.08743169398907102,0.005952380952380952,0.06446905827883832,0.9881656804733728,0.0,0.0,0.0,0.7949101796407185,0.05010639708039078,0.05536280921937797
3,14,7,rf,smartinhaler_only,86,665,184,338,48,1,4,0.9945652173913043,0.0,0.0,0.0,0.5519125683060109,0.011111111111111112,0.07050755224875407,0.8816568047337278,0.0,0.0,0.0,0.6863772455089822,0.02315913077131925,0.0943052518671503
3,14,7,rf,peakflow_only,131,665,184,338,48,1,4,0.9945652173913043,0.0,0.0,0.0,0.12568306010928965,0.006060606060606061,0.12524898981838356,0.7218934911242604,0.010869565217391304,0.25,0.020833333333333332,0.2739520958083832,0.02966605489547894,0.20687425452253963
3,14,7,rf,environment_only,171,665,184,338,48,1,4,0.9945652173913043,0.0,0.0,0.0,0.22404371584699456,0.006993006993006993,0.07676809189802795,0.9881656804733728,0.0,0.0,0.0,0.5299401197604791,0.015109036738112636,0.04605046073471038
3,14,7,rf,no_smartwatch,270,665,184,338,48,1,4,0.9945652173913043,0.0,0.0,0.0,0.2513661202185792,0.007246376811594203,0.10722352257953471,0.9674556213017751,0.1111111111111111,0.25,0.15384615384615385,0.3952095808383233,0.13314377377176995,0.11014642656601244
3,14,7,rf,no_smartinhaler,400,665,184,338,48,1,4,0.9836956521739131,0.25,1.0,0.4,1.0,1.0,0.10072365220756989,0.9881656804733728,0.0,0.0,0.0,0.39595808383233533,0.011879053017908304,0.07415892974201184
3,14,7,rf,no_peakflow,355,665,184,338,48,1,4,0.967391304347826,0.0,0.0,0.0,0.7650273224043715,0.022727272727272728,0.10491406122987743,0.9881656804733728,0.0,0.0,0.0,0.4925149700598802,0.013747963204484945,0.05003277573463833
3,14,7,rf,no_environment,315,665,184,338,48,1,4,0.9945652173913043,0.0,0.0,0.0,0.13661202185792354,0.006289308176100629,0.0837431838199819,0.9881656804733728,0.0,0.0,0.0,0.592065868263473,0.017033660639699237,0.10399716559963326
4,14,0,rf,all,427,712,184,350,50,1,4,0.9891304347826086,0.0,0.0,0.0,0.8852459016393441,0.045454545454545456,0.11280380163789969,0.9885714285714285,0.0,0.0,0.0,0.5953757225433526,0.03459130781499203,0.07730629935099094
4,14,0,rf,smartwatch_only,216,712,184,350,50,1,4,0.9945652173913043,0.0,0.0,0.0,0.08743169398907102,0.005952380952380952,0.09129677744984555,0.9885714285714285,0.0,0.0,0.0,0.726878612716763,0.05443586116853444,0.07644215378649827
4,14,0,rf,smartinhaler_only,86,712,184,350,50,1,4,0.9945652173913043,0.0,0.0,0.0,0.14207650273224043,0.006060606060606061,0.07706380218409092,0.9885714285714285,0.0,0.0,0.0,0.7528901734104047,0.02732399981459489,0.10085459739024634
4,14,0,rf,peakflow_only,131,712,184,350,50,1,4,0.9945652173913043,0.0,0.0,0.0,0.3114754098360656,0.007633587786259542,0.10497988633620095,0.8428571428571429,0.018867924528301886,0.25,0.03508771929824561,0.2911849710982659,0.03803519958057782,0.17718548580924678
4,14,0,rf,environment_only,171,712,184,350,50,1,4,0.9945652173913043,0.0,0.0,0.0,0.5136612021857924,0.011111111111111112,0.09614332154866352,0.9885714285714285,0.0,0.0,0.0,0.5043352601156069,0.024543715357740272,0.06722289171948226
4,14,0,rf,no_smartwatch,270,712,184,350,50,1,4,0.9945652173913043,0.0,0.0,0.0,0.4480874316939891,0.00980392156862745,0.09756558891697154,0.9857142857142858,0.0,0.0,0.0,0.5195086705202312,0.015097410390872014,0.10558621051008726
4,14,0,rf,no_smartinhaler,400,712,184,350,50,1,4,0.9293478260869565,0.0,0.0,0.0,0.7650273224043715,0.022727272727272728,0.13047246514072186,0.9714285714285714,0.0,0.0,0.0,0.6517341040462428,0.0335987738721821,0.08608801417949176
4,14,0,rf,no_peakflow,355,712,184,350,50,1,4,0.9836956521739131,0.0,0.0,0.0,0.7486338797814207,0.02127659574468085,0.11368488394653467,0.9885714285714285,0.0,0.0,0.0,0.7536127167630058,0.05888986085244339,0.06494263081282928
4,14,0,rf,no_environment,315,712,184,350,50,1,4,0.9945652173913043,0.0,0.0,0.0,0.14207650273224048,0.006329113924050633,0.10143284141569328,0.9885714285714285,0.0,0.0,0.0,0.6770231213872833,0.023781541556191752,0.10739403019265763
4,3,0,rf,all,427,962,217,410,54,1,5,0.9953917050691244,0.0,0.0,0.0,0.8935185185185185,0.03571428571428571,0.0215384048517157,0.9878048780487805,0.0,0.0,0.0,0.4232098765432099,0.012514193452767936,0.03478662112818312
4,3,0,rf,smartwatch_only,216,962,217,410,54,1,5,0.9953917050691244,0.0,0.0,0.0,0.6574074074074074,0.0125,0.026385186825832553,0.9878048780487805,0.0,0.0,0.0,0.32839506172839505,0.010259584365245586,0.03722109539120584
4,3,0,rf,smartinhaler_only,86,962,217,410,54,1,5,0.9953917050691244,0.0,0.0,0.0,0.41203703703703703,0.006896551724137931,0.06088395636631807,0.9878048780487805,0.0,0.0,0.0,0.2562962962962963,0.009491935694037043,0.04914344346807384
4,3,0,rf,peakflow_only,131,962,217,410,54,1,5,0.9953917050691244,0.0,0.0,0.0,0.8217592592592593,0.017241379310344827,0.02737055573504439,0.9878048780487805,0.0,0.0,0.0,0.4982716049382716,0.013840085537533724,0.03524300805383814
4,3,0,rf,environment_only,171,962,217,410,54,1,5,0.9953917050691244,0.0,0.0,0.0,0.4722222222222222,0.008403361344537815,0.03831889855880341,0.9878048780487805,0.0,0.0,0.0,0.5582716049382715,0.02435097037180724,0.027335835218682675
4,3,0,rf,no_smartwatch,270,962,217,410,54,1,5,0.9953917050691244,0.0,0.0,0.0,0.7222222222222223,0.015384615384615385,0.02575783599431189,0.9878048780487805,0.0,0.0,0.0,0.4345679012345679,0.015898706162751106,0.03775949147964871
4,3,0,rf,no_smartinhaler,400,962,217,410,54,1,5,0.9953917050691244,0.0,0.0,0.0,0.7777777777777777,0.018867924528301886,0.027722851944085983,0.9878048780487805,0.0,0.0,0.0,0.4069135802469136,0.012444700286605692,0.0361465389213484
4,3,0,rf,no_peakflow,355,962,217,410,54,1,5,0.9953917050691244,0.0,0.0,0.0,0.4722222222222222,0.008403361344537815,0.031375573950899405,0.9878048780487805,0.0,0.0,0.0,0.5609876543209877,0.018264342634398002,0.02954260683567945
4,3,0,rf,no_environment,315,962,217,410,54,1,5,0.9953917050691244,0.0,0.0,0.0,0.3287037037037037,0.006622516556291391,0.027254294058746284,0.9878048780487805,0.0,0.0,0.0,0.3397530864197531,0.010413702894214383,0.03649469377557901
4,14,0,xgb,all,427,712,184,350,50,1,4,0.7608695652173914,0.022222222222222223,1.0,0.043478260869565216,0.8469945355191256,0.034482758620689655,0.16315887436225876,0.9428571428571428,0.05555555555555555,0.25,0.09090909090909091,0.47182080924855485,0.02475795084457487,0.061794846132925726
4,14,0,xgb,smartwatch_only,216,712,184,350,50,1,4,0.9402173913043478,0.0,0.0,0.0,0.0,0.005434782608695652,0.05306108006045722,0.9171428571428571,0.0,0.0,0.0,0.777456647398844,0.04646807365495316,0.039961394848395934
