threshold,input_length_days,washout_days,algo,shuffle,n_train,n_val,train_positive_after_shuffle,val_positive_after_shuffle,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier
2,7,14,rf,3,716,203,52,1,0.9704433497536946,0.0,0.0,0.0,0.46039603960396036,0.00909090909090909,0.09337952563642418
2,7,14,rf,4,716,203,52,1,0.9655172413793104,0.0,0.0,0.0,0.7574257425742574,0.02,0.10338950998672469
4,7,14,rf,0,723,203,51,1,0.9753694581280788,0.0,0.0,0.0,0.43069306930693074,0.008620689655172414,0.02331085911606245
4,7,14,rf,1,723,203,51,1,0.9753694581280788,0.0,0.0,0.0,0.7920792079207921,0.023255813953488372,0.03026260828634735
4,7,14,rf,2,723,203,51,1,0.9901477832512315,0.0,0.0,0.0,0.9801980198019803,0.2,0.019312014270337373
4,7,14,rf,3,723,203,51,1,0.9950738916256158,0.0,0.0,0.0,0.2524752475247525,0.006578947368421052,0.02012493726024931
4,7,14,rf,4,723,203,51,1,0.9901477832512315,0.0,0.0,0.0,0.7871287128712872,0.022727272727272728,0.023797103180810415
2,3,14,rf,0,783,217,55,1,0.9953917050691244,0.0,0.0,0.0,0.6574074074074073,0.013333333333333334,0.06828030467194739
2,3,14,rf,1,783,217,55,1,0.9953917050691244,0.0,0.0,0.0,0.9513888888888888,0.08333333333333333,0.0392466399813023
2,3,14,rf,2,783,217,55,1,0.8986175115207373,0.0,0.0,0.0,0.8773148148148149,0.03571428571428571,0.09229462330214214
2,3,14,rf,3,783,217,55,1,0.9953917050691244,0.0,0.0,0.0,0.14814814814814814,0.005405405405405406,0.06058449267531445
2,3,14,rf,4,783,217,55,1,0.9216589861751152,0.0,0.0,0.0,0.17129629629629628,0.005555555555555556,0.10177561407711751
4,3,0,lr,0,962,217,54,1,0.8663594470046083,0.03333333333333333,1.0,0.06451612903225806,0.8842592592592592,0.038461538461538464,0.12490606447618441
4,3,0,lr,1,962,217,54,1,0.8709677419354839,0.0,0.0,0.0,0.5740740740740741,0.010752688172043012,0.1111963608259458
4,3,0,lr,2,962,217,54,1,0.9078341013824884,0.0,0.0,0.0,0.5740740740740741,0.010752688172043012,0.07832443697687098
4,3,0,lr,3,962,217,54,1,0.8433179723502304,0.0,0.0,0.0,0.7638888888888888,0.019230769230769232,0.1540307509213381
4,3,0,lr,4,962,217,54,1,0.9124423963133641,0.0,0.0,0.0,0.4629629629629629,0.008547008547008548,0.08011317540141535
3,14,0,lr,0,710,184,48,1,0.8967391304347826,0.0,0.0,0.0,0.6120218579234973,0.013888888888888888,0.10063854188610814
3,14,0,lr,1,710,184,48,1,0.8369565217391305,0.0,0.0,0.0,0.6666666666666666,0.016129032258064516,0.1508173701669751
3,14,0,lr,2,710,184,48,1,0.9239130434782609,0.0,0.0,0.0,0.18579234972677594,0.006666666666666667,0.06817161356298997
3,14,0,lr,3,710,184,48,1,0.842391304347826,0.0,0.0,0.0,0.43715846994535523,0.009615384615384616,0.14967151909349682
3,14,0,lr,4,710,184,48,1,0.8858695652173914,0.0,0.0,0.0,0.5027322404371585,0.010869565217391304,0.10953963809089949
3,14,14,lr,0,616,184,48,1,0.657608695652174,0.0,0.0,0.0,0.2896174863387978,0.007633587786259542,0.3168818941681856
3,14,14,lr,1,616,184,48,1,0.8206521739130435,0.0,0.0,0.0,0.060109289617486295,0.005780346820809248,0.17694251172457115
3,14,14,lr,2,616,184,48,1,0.8532608695652174,0.0,0.0,0.0,0.7759562841530054,0.023809523809523808,0.13733295751044008
3,14,14,lr,3,616,184,48,1,0.9565217391304348,0.0,0.0,0.0,0.47540983606557374,0.010309278350515464,0.036436163357889496
3,14,14,lr,4,616,184,48,1,0.75,0.0,0.0,0.0,0.7540983606557377,0.021739130434782608,0.21937612217499777
4,14,0,lr,0,712,184,50,1,0.8315217391304348,0.0,0.0,0.0,0.6557377049180328,0.015625,0.1498397297878668
4,14,0,lr,1,712,184,50,1,0.7228260869565217,0.0,0.0,0.0,0.4808743169398907,0.010416666666666666,0.25180764176121134
