threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
2,7,0,857,203,384,52,1,3,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,13,0.342227237831269,0.9655172413793104,0.0,0.0,0.0,0.9232673267326733,0.05555555555555555,0.03618980853324085,0.9921875,0.0,0.0,0.0,0.7226596675415573,0.05195741195741196,0.007750230342406524
2,7,0,857,203,384,52,1,3,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,15,0.3566011350069727,0.8719211822660099,0.037037037037037035,1.0,0.07142857142857142,0.9183168316831684,0.05263157894736842,0.08477757904223832,0.9921875,0.0,0.0,0.0,0.5336832895888014,0.012890832668793194,0.007759070962168796
3,14,7,665,184,338,48,1,4,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,17,0.6035253033041954,0.8043478260869565,0.02702702702702703,1.0,0.05263157894736842,0.9016393442622951,0.05263157894736842,0.15716465496801957,0.9881656804733728,0.0,0.0,0.0,0.6511976047904191,0.06412193973634651,0.011713062751996765
3,14,0,710,184,350,48,1,4,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,14,0.6920149233192205,0.7391304347826086,0.02040816326530612,1.0,0.04,0.8961748633879781,0.05,0.20620494591298097,0.9885714285714285,0.0,0.0,0.0,0.7059248554913294,0.02282426476465406,0.011338667738220768
4,14,0,712,184,350,50,1,4,72,42,cnn,dropout=0.2,,,0.2,6,0.2923389772574107,0.9402173913043478,0.0,0.0,0.0,0.8961748633879781,0.05,0.03437291341885665,0.9885714285714285,0.0,0.0,0.0,0.6539017341040462,0.03315533140020879,0.01133347732586603
2,7,7,773,203,370,52,1,3,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,15,0.5138564961297172,0.8275862068965517,0.027777777777777776,1.0,0.05405405405405406,0.9084158415841584,0.047619047619047616,0.1259444659770835,0.9918918918918919,0.0,0.0,0.0,0.5349682107175295,0.011887895838999588,0.008054234113222418
3,7,14,717,203,360,49,1,5,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,17,0.49536210404975073,0.916256157635468,0.0,0.0,0.0,0.9084158415841584,0.047619047619047616,0.07592445744327156,0.9861111111111112,0.0,0.0,0.0,0.8276056338028168,0.280673268892447,0.013755889130384006
2,14,0,713,184,348,51,1,2,72,42,cnn,dropout=0.2,,,0.2,5,0.42419606012602645,0.8532608695652174,0.03571428571428571,1.0,0.06896551724137931,0.8852459016393442,0.045454545454545456,0.1113339383163707,0.9942528735632183,0.0,0.0,0.0,0.546242774566474,0.011765069169960474,0.00571533506023815
3,14,14,616,184,324,48,1,4,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,5,0.49386694592734176,0.7771739130434783,0.023809523809523808,1.0,0.046511627906976744,0.8852459016393442,0.045454545454545456,0.15233334125345688,0.9876543209876543,0.0,0.0,0.0,0.93125,0.11393557422969186,0.012196786695992617
4,7,7,783,203,373,51,1,5,72,42,rnn,dropout=0.4;hidden_dim=32;num_layers=2,32.0,2.0,0.4,25,0.4280747877699988,0.8620689655172413,0.034482758620689655,1.0,0.06666666666666667,0.8985148514851485,0.043478260869565216,0.09226446203077537,0.9865951742627346,0.0,0.0,0.0,0.7956521739130435,0.3051828768246679,0.01326223551997367
