config,permutation,pooled_roc_auc,pooled_pr_auc,elapsed_sec
xgb_smartinhaler_T4_L14_W14,105,0.8064906647331487,0.26779684786042435,1.92
xgb_smartinhaler_T4_L14_W14,106,0.5168667466986794,0.18342743440635326,2.13
xgb_smartinhaler_T4_L14_W14,107,0.3231037977959413,0.05691748101829192,1.91
xgb_smartinhaler_T4_L14_W14,108,0.7634317932342083,0.39262308102211496,1.87
xgb_smartinhaler_T4_L14_W14,109,0.5171078551560293,0.2680854856372304,1.9
xgb_smartinhaler_T4_L14_W14,110,0.7667400173775074,0.2812454788097586,1.91
xgb_smartinhaler_T4_L14_W14,111,0.15152820227841068,0.17917277894677197,1.97
xgb_smartinhaler_T4_L14_W14,112,0.8735085489359957,0.7047473374205162,1.83
xgb_smartinhaler_T4_L14_W14,113,0.5309408957042754,0.19754391255360698,1.84
xgb_smartinhaler_T4_L14_W14,114,0.4833809914781574,0.1163768198277354,1.87
xgb_smartinhaler_T4_L14_W14,115,0.6966935525567447,0.41741653260087797,1.95
xgb_smartinhaler_T4_L14_W14,116,0.09082975295381313,0.10846355765957638,1.78
xgb_smartinhaler_T4_L14_W14,117,0.6658117280516301,0.26953183376675866,1.86
xgb_smartinhaler_T4_L14_W14,118,0.4060480877622281,0.1387383070815294,2.01
xgb_smartinhaler_T4_L14_W14,119,0.30610478880598235,0.1940965414804269,1.76
xgb_smartinhaler_T4_L14_W14,120,0.2483031362451673,0.19784154968105097,1.89
xgb_smartinhaler_T4_L14_W14,121,0.1763893220537211,0.13105109304723225,1.86
xgb_smartinhaler_T4_L14_W14,122,0.3586545599516098,0.1026031655665939,1.83
xgb_smartinhaler_T4_L14_W14,123,0.3604654828864732,0.13710140265806056,1.97
xgb_smartinhaler_T4_L14_W14,124,0.18479056155112494,0.17627128003887912,1.83
xgb_smartinhaler_T4_L14_W14,125,0.7665132596476669,0.15482481361839356,1.89
xgb_smartinhaler_T4_L14_W14,126,0.22461704634721133,0.04476709419192772,1.75
xgb_smartinhaler_T4_L14_W14,127,0.6726673912085651,0.20818919599442068,1.81
xgb_smartinhaler_T4_L14_W14,128,0.47954245184618594,0.14404599332023552,2.0
xgb_smartinhaler_T4_L14_W14,129,0.8880742039906028,0.6105212346908917,2.1
xgb_smartinhaler_T4_L14_W14,130,0.40674031380083253,0.07549892610484739,2.13
