threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
2,14,14,615,184,322,51,1,2,72,42,cnn,dropout=0.2,,,0.2,13,0.4702291712164879,0.9021739130434783,0.0,0.0,0.0,0.8633879781420765,0.038461538461538464,0.08210886180612977,0.9937888198757764,0.0,0.0,0.0,0.8453125,0.5099009900990099,0.006172785442683612
3,3,0,961,217,410,53,1,5,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,30,0.23721107255135263,0.9815668202764977,0.0,0.0,0.0,0.9027777777777778,0.03571428571428571,0.022904885524761373,0.9878048780487805,0.0,0.0,0.0,0.19160493827160496,0.008751641640689518,0.012104625422984476
4,3,0,962,217,410,54,1,5,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,29,0.3553214158330645,0.8341013824884793,0.02702702702702703,1.0,0.05263157894736842,0.8981481481481481,0.034482758620689655,0.1007240032539841,0.9878048780487805,0.0,0.0,0.0,0.3002469135802469,0.010125063130805835,0.012111164965501001
3,3,0,961,217,410,53,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,29,0.29557321114199503,0.9308755760368663,0.0,0.0,0.0,0.8981481481481481,0.034482758620689655,0.0646138488953897,0.9878048780487805,0.0,0.0,0.0,0.3683950617283951,0.011332398840495531,0.012107329063213775
4,3,7,876,217,397,54,1,5,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,23,0.24227715283632278,0.9585253456221198,0.0,0.0,0.0,0.8981481481481481,0.034482758620689655,0.03254716321800306,0.9874055415617129,0.0,0.0,0.0,0.3489795918367347,0.010986363752023784,0.012500225859408756
3,3,7,871,217,396,53,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,30,0.35373711585998535,0.9216589861751152,0.0,0.0,0.0,0.8935185185185185,0.03333333333333333,0.08547833698117585,0.9873737373737373,0.0,0.0,0.0,0.34424552429667515,0.011014436751897134,0.012535671248895463
2,3,0,963,217,408,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,23,0.3220062011054584,0.9124423963133641,0.0,0.0,0.0,0.888888888888889,0.03225806451612903,0.07791811207969827,0.9926470588235294,0.0,0.0,0.0,0.3448559670781893,0.007185046209436454,0.007309134751055405
4,3,14,789,217,385,54,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,25,0.3326601769242968,0.9354838709677419,0.0,0.0,0.0,0.8842592592592593,0.03125,0.05668821735692029,0.987012987012987,0.0,0.0,0.0,0.41210526315789475,0.015549206039018645,0.012886782091482238
2,14,14,615,184,322,51,1,2,72,42,rnn,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,1,0.8924659490585327,0.3804347826086957,0.008695652173913044,1.0,0.017241379310344827,0.8306010928961749,0.03125,0.32502042249571966,0.9937888198757764,0.0,0.0,0.0,0.49374999999999997,0.01696178937558248,0.006173245806171563
3,3,14,785,217,384,53,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,30,0.48275388138634817,0.783410138248848,0.020833333333333332,1.0,0.04081632653061224,0.8703703703703703,0.02857142857142857,0.1411493122616222,0.9869791666666666,0.0,0.0,0.0,0.39947229551451185,0.01220938440486293,0.012929541221520062
