threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
2,3,14,783,217,382,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,1,0.7620648571423122,0.35023041474654376,0.007042253521126761,1.0,0.013986013986013986,0.5925925925925927,0.010526315789473684,0.26131352535598346,0.9921465968586387,0.0,0.0,0.0,0.901495162708883,0.18712357217030112,0.007802597252185808
2,3,14,783,217,382,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=32;num_layers=2,32.0,2.0,0.4,1,0.7614971995353699,0.3317972350230415,0.00684931506849315,1.0,0.013605442176870748,0.5740740740740741,0.010101010101010102,0.2609765057415142,0.9921465968586387,0.0,0.0,0.0,0.8927000879507476,0.15869565217391304,0.007802593220565599
2,3,14,783,217,382,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,1,1.0675566366740636,0.05069124423963134,0.004830917874396135,1.0,0.009615384615384616,0.1111111111111111,0.005025125628140704,0.40616043939691016,0.9921465968586387,0.0,0.0,0.0,0.5426561125769569,0.010981387436034336,0.007802703418376143
2,3,14,783,217,382,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=1,64.0,1.0,0.4,1,1.0675566366740636,0.05069124423963134,0.004830917874396135,1.0,0.009615384615384616,0.1111111111111111,0.005025125628140704,0.40616043939691016,0.9921465968586387,0.0,0.0,0.0,0.5426561125769569,0.010981387436034336,0.007802703418376143
2,3,14,783,217,382,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,1,0.8139667596135821,0.04608294930875576,0.004807692307692308,1.0,0.009569377990430622,0.1435185185185185,0.005208333333333333,0.2871221943784948,0.9921465968586387,0.0,0.0,0.0,0.5998240985048373,0.014172167488586481,0.007802732623712789
2,3,14,783,217,382,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,1,0.8044677121298653,0.059907834101382486,0.004878048780487805,1.0,0.009708737864077669,0.1527777777777778,0.005263157894736842,0.2824226565983393,0.9921465968586387,0.0,0.0,0.0,0.5804749340369393,0.013636067071181573,0.0078027191779767345
2,3,14,783,217,382,55,1,3,72,42,rnn,dropout=0.2;hidden_dim=32;num_layers=1,32.0,1.0,0.2,1,0.6068810948303768,0.7880184331797235,0.0,0.0,0.0,0.6296296296296297,0.011494252873563218,0.18203397296668702,0.9921465968586387,0.0,0.0,0.0,0.7713280562884783,0.07997125685915861,0.00780170783965028
2,3,14,783,217,382,55,1,3,72,42,rnn,dropout=0.4;hidden_dim=32;num_layers=1,32.0,1.0,0.4,1,0.6068810948303768,0.7880184331797235,0.0,0.0,0.0,0.6296296296296297,0.011494252873563218,0.18203397296668702,0.9921465968586387,0.0,0.0,0.0,0.7713280562884783,0.07997125685915861,0.00780170783965028
2,3,14,783,217,382,55,1,3,72,42,rnn,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,1,0.9570459978921073,0.3640552995391705,0.0,0.0,0.0,0.27314814814814814,0.006097560975609756,0.34285098404925474,0.9921465968586387,0.0,0.0,0.0,0.4599824098504837,0.015771092479953237,0.007802458838169334
2,3,14,783,217,382,55,1,3,72,42,rnn,dropout=0.4;hidden_dim=32;num_layers=2,32.0,2.0,0.4,1,0.9487065247126988,0.3686635944700461,0.0,0.0,0.0,0.25,0.005917159763313609,0.33695591915102513,0.9921465968586387,0.0,0.0,0.0,0.44678979771328053,0.014126688240709812,0.0078025155396072715
2,3,14,783,217,382,55,1,3,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,1,0.9217923624174935,0.2764976958525346,0.006329113924050633,1.0,0.012578616352201259,0.37962962962962965,0.0070921985815602835,0.3360632453538575,0.9921465968586387,0.0,0.0,0.0,0.48636763412489004,0.00980294750786554,0.007802626168784176
2,3,14,783,217,382,55,1,3,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=1,64.0,1.0,0.4,1,0.9217923624174935,0.2764976958525346,0.006329113924050633,1.0,0.012578616352201259,0.37962962962962965,0.0070921985815602835,0.3360632453538575,0.9921465968586387,0.0,0.0,0.0,0.48636763412489004,0.00980294750786554,0.007802626168784176
2,3,14,783,217,382,55,1,3,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,21,0.5264388876301902,0.7972350230414746,0.0,0.0,0.0,0.7175925925925927,0.014705882352941176,0.14352502855987587,0.9921465968586387,0.0,0.0,0.0,0.07211961301671066,0.005584981714013972,0.007803560603696224
2,3,14,783,217,382,55,1,3,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,1,1.2307241133281164,0.17050691244239632,0.0,0.0,0.0,0.1435185185185185,0.005208333333333333,0.4648664388269583,0.9921465968586387,0.0,0.0,0.0,0.6367634124890061,0.018692455528738713,0.007801368361712826
2,7,0,857,203,384,52,1,3,72,42,gru,dropout=0.2;hidden_dim=32;num_layers=1,32.0,1.0,0.2,1,0.9198094095502581,0.2561576354679803,0.0,0.0,0.0,0.22524752475247523,0.006289308176100629,0.29634896915677744,0.9921875,0.0,0.0,0.0,0.5765529308836396,0.018596379465944682,0.007760115336603681
2,7,0,857,203,384,52,1,3,72,42,gru,dropout=0.4;hidden_dim=32;num_layers=1,32.0,1.0,0.4,1,0.9198094095502581,0.2561576354679803,0.0,0.0,0.0,0.22524752475247523,0.006289308176100629,0.29634896915677744,0.9921875,0.0,0.0,0.0,0.5765529308836396,0.018596379465944682,0.007760115336603681
2,7,0,857,203,384,52,1,3,72,42,gru,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,1,0.844127859388079,0.2315270935960591,0.0,0.0,0.0,0.16089108910891092,0.005813953488372093,0.26094666603018807,0.9921875,0.0,0.0,0.0,0.4505686789151356,0.009844467998786239,0.007760074838626654
2,7,0,857,203,384,52,1,3,72,42,gru,dropout=0.4;hidden_dim=32;num_layers=2,32.0,2.0,0.4,1,0.8432648437363761,0.24630541871921183,0.0,0.0,0.0,0.16089108910891092,0.005813953488372093,0.26048788850934873,0.9921875,0.0,0.0,0.0,0.43744531933508307,0.009602398052213336,0.007760074141403735
2,7,0,857,203,384,52,1,3,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,28,0.3195426565195833,0.9064039408866995,0.05,1.0,0.09523809523809523,0.9183168316831684,0.05263157894736842,0.06684258788754696,0.9921875,0.0,0.0,0.0,0.5126859142607174,0.012803908929679739,0.0077626892442134035
